# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2.0385 -5.23539e-14 4.10998e-29 8.36363e-14 -7.64562e-36 3.01735e-23 6.7974e-36
2.039 -5.30486e-14 3.15433e-29 8.38079e-14 9.03261e-36 3.03743e-23 6.83786e-36
2.0395 -5.37484e-14 3.43956e-29 8.39955e-14 -7.10138e-36 3.05862e-23 -1.44206e-36
2.04 -5.44536e-14 3.62421e-29 8.41996e-14 1.39463e-36 3.08097e-23 6.58877e-36
2.0405 -5.51643e-14 2.80665e-29 8.44206e-14 9.18795e-36 3.10452e-23 -4.81534e-36
2.041 -5.58808e-14 3.67591e-29 8.46593e-14 1.51586e-36 3.12935e-23 9.32568e-36
2.0415 -5.66033e-14 3.90688e-29 8.49161e-14 -6.26372e-37 3.15549e-23 1.10957e-36
2.042 -5.73319e-14 2.91274e-29 8.51919e-14 2.75343e-36 3.18303e-23 5.32812e-37
2.0425 -5.8067e-14 4.25623e-29 8.54872e-14 4.97397e-36 3.21201e-23 -4.86985e-36
2.043 -5.88086e-14 3.02668e-29 8.5803e-14 -8.0263e-36 3.24253e-23 6.85955e-36
2.0435 -5.95571e-14 4.06335e-29 8.61399e-14 4.83878e-36 3.27465e-23 3.72467e-36
2.044 -6.03126e-14 4.89309e-29 8.64989e-14 -1.11736e-36 3.30846e-23 -2.28093e-36
2.0445 -6.10755e-14 3.77721e-29 8.6881e-14 -5.46939e-37 3.34405e-23 5.94721e-36
2.045 -6.18458e-14 3.14721e-29 8.72871e-14 -1.09516e-35 3.38151e-23 -1.11022e-35
2.0455 -6.2624e-14 3.58544e-29 8.77183e-14 1.13532e-35 3.42095e-23 -4.09012e-36
2.046 -6.34101e-14 3.51911e-29 8.81759e-14 -7.6309e-36 3.46248e-23 -2.44946e-37
2.0465 -6.42045e-14 4.15177e-29 8.86611e-14 9.86095e-37 3.50622e-23 2.73524e-36
2.047 -6.50074e-14 3.45772e-29 8.91752e-14 -3.01733e-36 3.5523e-23 1.77209e-36
2.0475 -6.58192e-14 2.49109e-29 8.97198e-14 4.80726e-36 3.60085e-23 8.7321e-36
2.048 -6.664e-14 4.77401e-29 9.02964e-14 7.78809e-36 3.65204e-23 -1.02732e-35
2.0485 -6.74703e-14 3.10381e-29 9.09068e-14 -3.20245e-36 3.70601e-23 1.56341e-36
2.049 -6.83102e-14 3.13131e-29 9.15528e-14 -6.78553e-36 3.76295e-23 4.35135e-36
2.0495 -6.91602e-14 3.415e-29 9.22364e-14 -2.16754e-36 3.82305e-23 -4.23408e-37
2.05 -7.00206e-14 3.93925e-29 9.29599e-14 -2.7939e-36 3.88652e-23 -5.25125e-36
2.0505 -7.08918e-14 2.49689e-29 9.37256e-14 -3.50018e-36 3.95358e-23 -1.18099e-36
2.051 -7.17741e-14 5.29922e-29 9.45361e-14 -3.17426e-36 4.02448e-23 -1.84513e-36
2.0515 -7.26681e-14 2.93255e-29 9.53942e-14 -3.50051e-36 4.09948e-23 4.01614e-36
2.052 -7.3574e-14 5.07023e-29 9.63031e-14 -8.87847e-37 4.17887e-23 2.50762e-36
2.0525 -7.44925e-14 4.41518e-29 9.72661e-14 -4.18243e-37 4.26297e-23 -3.31469e-36
2.053 -7.54241e-14 3.46995e-29 9.82868e-14 7.50449e-36 4.35213e-23 -3.00927e-36
2.0535 -7.63692e-14 3.17274e-29 9.93694e-14 -9.17082e-36 4.44673e-23 2.8199e-36
2.054 -7.73286e-14 2.85837e-29 1.00518e-13 -1.11837e-35 4.54718e-23 7.20231e-36
2.0545 -7.83029e-14 3.10086e-29 1.01738e-13 -1.61681e-36 4.65395e-23 -2.90226e-36
2.055 -7.92929e-14 3.93112e-29 1.03034e-13 1.38665e-35 4.76753e-23 1.0945e-35
2.0555 -8.02993e-14 3.64294e-29 1.04413e-13 1.05206e-35 4.88849e-23 1.43453e-36
2.056 -8.1323e-14 5.18635e-29 1.0588e-13 -1.57576e-35 5.01743e-23 3.18399e-36
2.0565 -8.23651e-14 3.20035e-29 1.07444e-13 -2.16525e-36 5.15504e-23 2.60611e-36
2.057 -8.34265e-14 3.74942e-29 1.09112e-13 -5.17386e-37 5.30207e-23 4.01756e-36
2.0575 -8.45084e-14 4.21384e-29 1.10892e-13 -6.53435e-37 5.45935e-23 1.36234e-35
2.058 -8.56122e-14 2.53192e-29 1.12796e-13 -1.38562e-35 5.62781e-23 6.12752e-38
2.0585 -8.67393e-14 4.97103e-29 1.14833e-13 -5.13168e-36 5.80848e-23 -1.73953e-36
2.059 -8.78914e-14 3.96668e-29 1.17016e-13 1.02927e-35 6.00254e-23 2.15451e-36
2.0595 -8.90701e-14 4.72643e-29 1.1936e-13 -4.77232e-36 6.21127e-23 -4.18236e-36
2.06 -9.02775e-14 3.71771e-29 1.21878e-13 1.60441e-36 6.43613e-23 -1.74629e-36
2.0605 -9.15158e-14 5.39947e-29 1.2459e-13 -1.72235e-36 6.67877e-23 9.01884e-36
2.061 -9.27875e-14 3.14507e-29 1.27514e-13 -4.49069e-36 6.94102e-23 1.298e-37
2.0615 -9.40955e-14 5.00294e-29 1.30672e-13 1.40856e-37 7.225e-23 7.15245e-36
2.062 -9.54427e-14 2.7874e-29 1.3409e-13 -1.43452e-35 7.53308e-23 -5.02073e-36
